MuseumList_20251106,,,,,,
名称,都道府県,市区町村,登録状況,設置者,館種,公式HP
◎旭川市旭山動物園,北海道,旭川市,登録博物館,市区町村立,動物園,https://www.city.asahikawa.hokkaido.jp/asahiyamazoo/
旭川市科学館,北海道,旭川市,登録博物館,市区町村立,科学,https://www.city.asahikawa.hokkaido.jp/science/
旭川市博物館,北海道,旭川市,登録博物館,市区町村立,総合,https://www.city.asahikawa.hokkaido.jp/hakubutukan/index.html
中原悌二郎記念旭川市彫刻美術館,北海道,旭川市,登録博物館,市区町村立,美術,https://www.city.asahikawa.hokkaido.jp/sculpture/
◎北海道立旭川美術館,北海道,旭川市,登録博物館,都道府県立,美術,https://artmuseum.pref.hokkaido.lg.jp/abj
三浦綾子記念文学館,北海道,旭川市,登録博物館,公益財団法人,歴史,https://www.hyouten.com/
厚岸町海事記念館,北海道,厚岸町,登録博物館,市区町村立,歴史,http://edu.town.akkeshi.hokkaido.jp/kaiji/
網走市立郷土博物館,北海道,網走市,登録博物館,市区町村立,総合,https://www.city.abashiri.hokkaido.jp/site/kyodo/
網走市立美術館,北海道,網走市,登録博物館,市区町村立,美術,https://www.city.abashiri.hokkaido.jp/site/artmuseum/
博物館　網走監獄,北海道,網走市,登録博物館,公益財団法人,歴史,https://www.kangoku.jp/
◎北海道立北方民族博物館,北海道,網走市,登録博物館,都道府県立,歴史,https://hoppohm.org/index2.htm
荒井記念美術館,北海道,岩内町,登録博物館,公益財団法人,美術,http://www.iwanai-h.com/art/
浦河町立郷土博物館,北海道,浦河町,登録博物館,市区町村立,総合,https://www.town.urakawa.hokkaido.jp/gyosei/culture/?category=100
浦幌町立博物館,北海道,浦幌町,登録博物館,市区町村立,総合,https://museum-urahoro.jp
◎オホーツクミュージアムえさし,北海道,枝幸郡,登録博物館,市区町村立,総合,https://www.esashi.jp/tourism/guide/museum.html
◎小樽芸術村,北海道,小樽市,登録博物館,公益財団法人,美術,https://www.nitorihd.co.jp/otaru-art-base/
小樽市総合博物館,北海道,小樽市,登録博物館,市区町村立,総合,https://www.city.otaru.lg.jp/categories/bunya/shisetsu/bunka_kanko/museum/
◎おたる水族館,北海道,小樽市,登録博物館,会社,水族館,https://otaru-aq.jp/
